STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA YATAGAN METEOROLOJI MUD.
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4807
STATION COORDINATES     : 37.33967N-28.13692E
STATION ALTITUDE (m)    : 684
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101128
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 15096
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 22.187779 (E-W) 22.788094 (U-D) 6.212879
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.007277     -0.001040     0.003119
   -0.004678     -0.004158     0.015073
    0.001040      0.012474    -0.002599
    0.004158     -0.002859     0.006757
    0.004418      0.007796     0.001040
   -0.006237      0.001299    -0.000520
    0.005717     -0.002079     0.009615
   -0.008836     -0.005717    -0.001299
    0.003378     -0.005457     0.007796
    0.007277      0.012994     0.000000
   -0.002599     -0.015852     0.009615
   -0.003119     -0.001040    -0.000780
   -0.008836      0.000000    -0.001040
    0.004938     -0.002339     0.010135
   -0.009875      0.003898    -0.003638
    0.005977     -0.006497     0.008056
    0.007277      0.014813    -0.005977
   -0.003378     -0.000260     0.006237
    0.007017      0.007536     0.007277
   -0.011435     -0.008316    -0.001819
    0.003378     -0.018451     0.010655
   -0.003119      0.003378    -0.001819
   -0.006757     -0.008056     0.003898
    0.004418      0.016892    -0.002859
    0.000780      0.004938     0.011694
    0.001559      0.003898     0.011694
   -0.005457      0.014033     0.001819
    0.007017      0.006757     0.008316
   -0.004418     -0.003378    -0.007536
   -0.001299     -0.025468     0.008056
    0.004678      0.006497    -0.000260
    0.001299     -0.001299     0.005198
    0.006757      0.002339     0.008056
   -0.007796      0.011954    -0.000520
    0.002339     -0.001299     0.015593
   -0.007796      0.013254    -0.002859
    0.000520      0.000260     0.006237
    0.003898      0.002599     0.001299
   -0.004938     -0.012994     0.002339
    0.011175     -0.010135     0.007017
   -0.008316      0.005198    -0.008056
    0.000000      0.004158     0.005977
   -0.002599      0.012214    -0.000780
   -0.005457     -0.006757     0.009356
    0.003898      0.002079     0.006497
   -0.001559     -0.000260     0.004418
   -0.000260      0.007017     0.004158
   -0.008836      0.002339    -0.002079
    0.009615     -0.014553     0.013773
   -0.004938      0.008576    -0.004418
   -0.006237     -0.004158     0.004418
    0.007277      0.001559     0.005198
   -0.009875     -0.001559     0.000520
    0.001299     -0.003638     0.005977
    0.005198      0.004418    -0.002339
    0.005977     -0.001299     0.009875
   -0.012734      0.012994    -0.001040
   -0.005457     -0.004678     0.004938
    0.002599      0.003119     0.003898
   -0.011694     -0.001559     0.004938
    0.004678     -0.008316     0.007277
   -0.001040      0.003378    -0.002079
    0.006237     -0.005717     0.008316
    0.000000      0.012994    -0.006237
   -0.004938      0.001559     0.011694
   -0.000520      0.005198     0.007017
   -0.006237      0.001559    -0.001819
    0.009356     -0.013514     0.007017
   -0.005977     -0.005198    -0.001819
    0.000780     -0.009356     0.011694
   -0.000520      0.012474    -0.006757
   -0.005717      0.003898     0.004678
    0.002859      0.006497     0.010135
   -0.009356      0.004678     0.005457
    0.004158     -0.009096     0.005457
   -0.000520      0.005717    -0.006757
    0.002599     -0.001040     0.015073
    0.000000      0.007277    -0.002599
   -0.003638     -0.005198     0.005457
    0.004418     -0.003119     0.008836
   -0.008576      0.002339    -0.001040
    0.005457     -0.003378     0.007536
    0.002859      0.005717    -0.004678
    0.005198     -0.008056     0.010655
    0.001040      0.013514    -0.002079
   -0.007796      0.005198     0.008316
   -0.008576     -0.008316     0.011954
   -0.016892      0.002599    -0.004418
    0.011694     -0.003119     0.005977
    0.003898      0.000000    -0.001299
    0.003638      0.000780     0.012474
    0.007277      0.017412    -0.000520
    0.000000     -0.000520     0.002859
    0.005977     -0.007796     0.000520
   -0.014293      0.002339    -0.009096
    0.002599     -0.008056     0.010915
   -0.000260     -0.006497    -0.002599
   -0.010655     -0.007017     0.014293
   -0.005198      0.014553     0.003119
    0.003638      0.008056    -0.000780
    0.011175      0.000260     0.005457
   -0.010135      0.007796    -0.006497
    0.008576      0.000260     0.013254
   -0.000780     -0.003898    -0.002079
   -0.011175     -0.017672     0.004938
   -0.002079     -0.009096     0.003378
   -0.005717      0.000260     0.000000
    0.008316      0.010395     0.004678
    0.003378      0.016112    -0.002079
    0.002859      0.014033     0.015073
   -0.017672      0.002859     0.000260
   -0.001819     -0.013514     0.008576
    0.012214      0.000260     0.000520
   -0.013514     -0.008316    -0.005198
    0.007277     -0.005717     0.010655
    0.002339      0.000260     0.003378
   -0.003119      0.009615     0.009875
    0.002079      0.011694    -0.003638
    0.004158     -0.018451     0.006497
   -0.008576     -0.000520     0.003638
   -0.011694     -0.006757     0.001299
    0.014553      0.001040     0.007796
   -0.005198      0.014293    -0.003378
    0.000000     -0.001819     0.014553
   -0.000260      0.002079    -0.001040
   -0.000520     -0.014813    -0.000780
    0.009875     -0.001040     0.001299
   -0.009875     -0.003898     0.001299
   -0.000520      0.007796     0.010135
    0.001559      0.020790     0.000780
    0.002859      0.000780     0.010655
   -0.007796      0.011435    -0.004678
    0.005977     -0.009615     0.002339
    0.011694     -0.012474     0.004158
   -0.020011     -0.013514     0.003378
    0.005977      0.001040     0.015593
    0.004158      0.011435     0.000520
   -0.005198      0.001040     0.008056
   -0.002339      0.020790     0.001299
    0.001299     -0.005717     0.005977
    0.005717     -0.002079    -0.000260
   -0.009096     -0.000260    -0.001819
    0.004938     -0.006497     0.011954
   -0.004938      0.002859    -0.004678
    0.002339     -0.003638     0.009615
    0.003378      0.011954     0.004678
   -0.008576     -0.001299     0.004678
    0.005457      0.003898     0.005717
   -0.006757     -0.007536     0.003119
    0.000260     -0.002079     0.010135
    0.004158      0.016112    -0.004418
    0.009096     -0.006757     0.011694
   -0.003119      0.011175    -0.001819
   -0.006237     -0.007017     0.004418
    0.006497     -0.006497     0.008836
   -0.019231      0.002859    -0.006757
    0.000260     -0.004158     0.012214
   -0.000260      0.007796    -0.001040
   -0.001040     -0.005717     0.012214
    0.011954      0.009615     0.005717
   -0.002859     -0.004418     0.000260
    0.003378     -0.007017     0.005717
   -0.008836      0.006497    -0.007017
   -0.005198      0.002599     0.010655
   -0.003378      0.010135     0.001040
    0.001559      0.000000     0.008576
    0.007277      0.006237     0.006237
   -0.002339     -0.012474     0.000780
    0.011175     -0.003638     0.000780
   -0.004418      0.001299    -0.006237
   -0.011175     -0.005977     0.011694
   -0.008576      0.014813     0.001559
   -0.003638     -0.003119     0.012214
    0.001299      0.004418     0.003378
    0.007536     -0.000780    -0.001559
    0.017412      0.000000     0.004938
   -0.006757     -0.000260    -0.007536
   -0.000260     -0.007536     0.013773
   -0.009875      0.009356     0.004158
   -0.015073     -0.006237     0.005198
    0.003898      0.008316     0.003378
   -0.003119     -0.004158     0.002859
    0.004158     -0.001299     0.006757
    0.000260      0.011435    -0.005717
    0.008836     -0.010135     0.009615
   -0.002859      0.008056    -0.001040
   -0.005717     -0.006497     0.010135
    0.003638      0.002599     0.002859
   -0.010395      0.001040     0.000260
    0.008056     -0.003638     0.015593
   -0.006497      0.010135    -0.004938
   -0.003898     -0.012734     0.011694
    0.004678      0.012994     0.000260
   -0.005198      0.011175     0.001559
    0.004678     -0.001559     0.003119
   -0.002339     -0.007017    -0.005198
    0.004678     -0.007796     0.009096
   -0.000520      0.008836    -0.003119
    0.000260     -0.006497     0.010915
   -0.005457      0.011954     0.002339
   -0.011435      0.003119     0.002599
    0.006237     -0.003898     0.003898
    0.004158      0.003638    -0.001819
    0.004678     -0.006497     0.008056
   -0.009615      0.008056    -0.004678
   -0.001819     -0.002859     0.011694
    0.000780      0.000780    -0.000780
   -0.002079      0.001819     0.004418
    0.004418      0.001040     0.008056
   -0.011694     -0.000780    -0.004938
    0.003898     -0.008316     0.009356
   -0.001299      0.002339    -0.003119
    0.001299     -0.007017     0.013773
    0.006237      0.003638     0.004678
   -0.008316      0.009875     0.002079
   -0.000260      0.006237     0.007796
   -0.004418      0.003378    -0.002079
    0.003119      0.001559     0.013254
   -0.002599      0.000780    -0.000780
    0.004938     -0.005198     0.007017
    0.001559      0.006237     0.002859
   -0.016112     -0.004418     0.000520
   -0.001299      0.000780     0.006757
   -0.001299      0.005198    -0.002859
    0.013514      0.003378     0.006237
    0.002859      0.003898     0.000520
   -0.004418     -0.011954     0.009356
   -0.004678      0.001559    -0.001559
   -0.010915     -0.000520     0.001819
    0.003378      0.004938     0.010655
   -0.002339      0.001559    -0.002339
    0.010915     -0.002339     0.007277
   -0.004678      0.002079    -0.001559
   -0.009615     -0.005457     0.010395
   -0.002599      0.012734     0.004678
   -0.004938     -0.009356    -0.004158
    0.015593     -0.004938     0.003898
   -0.010395      0.007277    -0.002079
   -0.003638      0.001040     0.007536
    0.002599      0.005457    -0.000520
   -0.006757     -0.002859     0.006497
    0.006237      0.016112    -0.000520
    0.001819     -0.007277     0.000520
    0.003638      0.000000     0.005977
   -0.008576      0.004678    -0.004678
    0.000000     -0.013773     0.011175
   -0.006237      0.010655    -0.002599
    0.000260     -0.003119     0.007277
    0.012994      0.000260     0.008056
   -0.011435     -0.004678     0.000780
    0.000780      0.008576     0.008056
   -0.008316      0.005717    -0.003638
   -0.002339     -0.011694     0.008576
    0.004158      0.018451    -0.001559
   -0.003638     -0.004418     0.002859
    0.008576      0.002079    -0.001040
   -0.002339     -0.000780    -0.001559
   -0.002079     -0.002859     0.013514
   -0.013773      0.002859    -0.000780
    0.001040     -0.012734     0.008836
    0.007017      0.011175    -0.000780
   -0.003378     -0.012474     0.003898
    0.006757      0.000260     0.004938
   -0.010655      0.006497     0.001559
   -0.001819     -0.003898     0.012214
    0.001819      0.010655    -0.002339
    0.007796     -0.005977     0.009615
    0.003638      0.008056    -0.001040
   -0.005977     -0.007536     0.002079
    0.000780      0.003119     0.004938
   -0.011694      0.007277    -0.001299
    0.007277     -0.005717     0.011694
   -0.003638      0.006497    -0.004158
   -0.001559     -0.010915     0.009096
    0.009875      0.009356     0.000260
   -0.010915     -0.001299     0.000260
   -0.001559      0.003638     0.005977
   -0.000520      0.011435    -0.003638
    0.004418     -0.008056     0.011435
   -0.006757      0.005457    -0.003119
   -0.001819     -0.006757     0.006237
    0.004678     -0.001040    -0.001040
   -0.003898     -0.002859    -0.001559
    0.005457      0.005198     0.008836
   -0.008316      0.002859    -0.001559
    0.003898     -0.003638     0.009615
    0.001040      0.013514    -0.002859
   -0.007536     -0.008576     0.010655
   -0.001040      0.006497     0.000260
   -0.001559     -0.000520    -0.004418
    0.003638     -0.004678     0.010655
   -0.012474      0.007277    -0.001299
   -0.000780     -0.003378     0.008316
    0.000520      0.010655    -0.007536
   -0.001040     -0.004938     0.005457
    0.000780      0.008576     0.005717
   -0.000520     -0.002859     0.003378
    0.010395     -0.010915     0.012994
   -0.012214      0.018451    -0.004418
   -0.005198     -0.007536     0.011435
   -0.000260      0.002599    -0.000520
    0.002599      0.009615     0.004158
    0.004678      0.004158     0.003638
   -0.009615     -0.004418    -0.002599
    0.007017     -0.009615     0.008576
   -0.007017     -0.000260     0.000520
   -0.009615     -0.010395     0.009096
   -0.002339      0.007017    -0.004418
    0.003638      0.002859     0.004678
    0.002599      0.006237     0.005198
   -0.015333      0.002079     0.002599
    0.005977      0.001040     0.005977
    0.002859      0.007796    -0.008056
    0.000520     -0.012994     0.009096
    0.000260      0.010655    -0.000520
   -0.001040     -0.002339     0.005977
    0.004158     -0.003898     0.001559
   -0.008576      0.004938    -0.003638
   -0.000520     -0.007796     0.009356
   -0.003898      0.005977    -0.007017
    0.008836      0.003638     0.006497
   -0.003119      0.008056    -0.000520
   -0.007277     -0.005198     0.003638
    0.008576      0.006497     0.002859
   -0.015073      0.005977    -0.001040
    0.003378     -0.009615     0.011435
    0.003378      0.007536    -0.003898
    0.002339     -0.003898     0.008056
    0.003898     -0.006237    -0.001040
   -0.008056     -0.004418     0.005198
   -0.003898      0.007017     0.004418
   -0.006497      0.001040    -0.007536
    0.009096     -0.000520     0.009096
   -0.011175      0.005198    -0.004158
   -0.004418     -0.007017     0.005977
    0.008056      0.005977     0.002339
   -0.008576      0.000000     0.007277
   -0.000780      0.007277     0.008836
   -0.001299     -0.002859    -0.002079
    0.011175     -0.003898     0.010395
   -0.010655      0.011435    -0.006237
   -0.008056     -0.007277     0.003378
    0.009096      0.001559    -0.000260
   -0.002339     -0.001299     0.003378
    0.003638      0.010655     0.012474
   -0.006497     -0.002599     0.000000
    0.007017     -0.007277     0.006237
   -0.002859      0.014813    -0.006237
   -0.008316     -0.010395     0.007017
    0.004938     -0.001299     0.001040
   -0.000780     -0.004938     0.000000
    0.003119      0.008316     0.008576
   -0.012994      0.003378    -0.000260
    0.003378     -0.016112     0.011435
    0.000000      0.017412    -0.004938
   -0.011954      0.001299     0.004938
    0.003898      0.004938     0.002079
    0.000520     -0.005198    -0.000520
    0.001819     -0.008836     0.010395
   -0.007536      0.008836    -0.000520
    0.004938     -0.008576     0.009096
   -0.001040      0.001559    -0.003638
   -0.007017      0.003898     0.004418
    0.001040      0.014293     0.002339
    0.001559     -0.009615     0.001819
    0.014813     -0.001559     0.006497
   -0.016632      0.016372    -0.004678
   -0.007017     -0.015852     0.011694
    0.013254      0.005457    -0.006497
   -0.000260     -0.003898     0.006237
   -0.005717      0.008056     0.005717
   -0.008316      0.006757    -0.005977
    0.008836     -0.007796     0.006757
   -0.009096      0.007277    -0.007277
   -0.005457     -0.010395     0.009615
    0.003378      0.008056    -0.000520
   -0.001819     -0.004418    -0.000780
    0.004418      0.003638     0.006237
   -0.007796      0.012474     0.001040
    0.005717     -0.008576     0.005717
    0.002339      0.000520    -0.003119
   -0.003898     -0.002079     0.008836
   -0.004418      0.011175    -0.002339
   -0.001040     -0.009615     0.005198
    0.000260      0.003378     0.000780
   -0.012474      0.008316    -0.000260
    0.012734     -0.015073     0.018451
    0.002859      0.009356    -0.005977
   -0.004418     -0.000260     0.007796
    0.001040      0.004418     0.001819
   -0.008576     -0.002599     0.001040
    0.001299      0.001559     0.004938
   -0.002599      0.003638     0.000780
    0.002599     -0.014033     0.015333
   -0.001819      0.003378    -0.007536
    0.006237     -0.006497     0.003119
   -0.004158      0.004158    -0.002599
   -0.016632     -0.002339    -0.002859
    0.012474     -0.002079     0.006497
    0.001559      0.014813     0.001559
   -0.002599      0.003378     0.014293
   -0.001559      0.003898    -0.002599
    0.001819     -0.011954     0.008576
   -0.001819      0.006757     0.003119
   -0.006757      0.002079     0.002599
    0.004418     -0.010395     0.003638
   -0.008056      0.002079    -0.004158
    0.001299      0.003119     0.013254
   -0.011954      0.009096    -0.007536
   -0.001819     -0.017932     0.002079
    0.015333      0.006237     0.000520
   -0.011435      0.020530     0.003378
    0.003638      0.005457     0.009356
    0.009615      0.005198    -0.007277
    0.000000     -0.012214     0.008316
   -0.009875     -0.002599     0.000000
    0.003378     -0.014813     0.011694
